#FieldID	Field	Category	UKBCategoryTreePath
132289	Source of report of O86 (other puerperal infections)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132290	Date O87 first reported (venous complications in the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132291	Source of report of O87 (venous complications in the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132292	Date O88 first reported (obstetric embolism)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132293	Source of report of O88 (obstetric embolism)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132294	Date O89 first reported (complications of anaesthesia during the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132295	Source of report of O89 (complications of anaesthesia during the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132296	Date O90 first reported (complications of the puerperium, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132297	Source of report of O90 (complications of the puerperium, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132298	Date O91 first reported (infections of breast associated with childbirth)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132299	Source of report of O91 (infections of breast associated with childbirth)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132300	Date O92 first reported (other disorders of breast and lactation associated with childbirth)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132301	Source of report of O92 (other disorders of breast and lactation associated with childbirth)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132302	Date O94 first reported (sequelae of complication of pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132303	Source of report of O94 (sequelae of complication of pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132306	Date O96 first reported (death from any obstetric cause occurring more than 42 days but less than one year after delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132307	Source of report of O96 (death from any obstetric cause occurring more than 42 days but less than one year after delivery)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132310	Date O98 first reported (maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132311	Source of report of O98 (maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132312	Date O99 first reported (other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132313	Source of report of O99 (other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium)	First occurrences	Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium
132314	Date P00 first reported (foetus and newborn affected by maternal conditions that may be unrelated to present pregnancy)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132315	Source of report of P00 (foetus and newborn affected by maternal conditions that may be unrelated to present pregnancy)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132318	Date P02 first reported (foetus and newborn affected by complications of placenta, cord and membranes)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132319	Source of report of P02 (foetus and newborn affected by complications of placenta, cord and membranes)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132320	Date P03 first reported (foetus and newborn affected by other complications of labour and delivery)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132321	Source of report of P03 (foetus and newborn affected by other complications of labour and delivery)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132322	Date P04 first reported (foetus and newborn affected by noxious influences transmitted via placenta or breast milk)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132323	Source of report of P04 (foetus and newborn affected by noxious influences transmitted via placenta or breast milk)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132324	Date P05 first reported (slow foetal growth and foetal malnutrition)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132325	Source of report of P05 (slow foetal growth and foetal malnutrition)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
132326	Date P07 first reported (disorders related to short gestation and low birth weight, not elsewhere classified)	First occurrences	Health-related outcomes > First occurrences > Certain conditions originating in the perinatal period
